Faction,Unit,Tier,Models,BSData_pts,MFM_pts,Difference,Status,Row_type,Wargear_note
Blood Angels,Redemptor Dreadnought,3rd+,1,220,210,-10,decreased,unit,
Blood Angels,Redemptor Dreadnought with Macro plasma incinerator,,,,10,,,wargear,per Macro plasma incinerator
Blood Angels,Reiver Squad,standard,5,80,75,-5,decreased,unit,
Blood Angels,Reiver Squad,standard,10,160,150,-10,decreased,unit,
Blood Angels,Repulsor,1st-2nd,1,180,170,-10,decreased,unit,
Blood Angels,Repulsor,3rd+,1,200,190,-10,decreased,unit,
Blood Angels,Repulsor Executioner,1st-2nd,1,230,230,0,unchanged,unit,
Blood Angels,Repulsor Executioner,3rd+,1,250,250,0,unchanged,unit,
Blood Angels,Rhino,standard,1,75,75,0,unchanged,unit,
Blood Angels,Sanguinary Guard,1st-2nd,3,125,125,0,unchanged,unit,
Blood Angels,Sanguinary Guard,1st-2nd,6,260,260,0,unchanged,unit,
Blood Angels,Sanguinary Guard,3rd+,3,145,145,0,unchanged,unit,
Blood Angels,Sanguinary Guard,3rd+,6,280,280,0,unchanged,unit,
Blood Angels,Sanguinary Priest,1st-2nd,1,75,75,0,unchanged,unit,
Blood Angels,Sanguinary Priest,3rd+,1,85,85,0,unchanged,unit,
Blood Angels,Scout Squad,1st-2nd,5,70,65,-5,decreased,unit,
Blood Angels,Scout Squad,1st-2nd,10,140,120,-20,decreased,unit,
Blood Angels,Scout Squad,3rd+,5,80,75,-5,decreased,unit,
Blood Angels,Scout Squad,3rd+,10,150,130,-20,decreased,unit,
Blood Angels,Sternguard Veteran Squad,standard,5,100,100,0,unchanged,unit,
Blood Angels,Sternguard Veteran Squad,standard,10,200,190,-10,decreased,unit,
Blood Angels,Storm Speeder Hailstrike,1st-2nd,1,115,105,-10,decreased,unit,
Blood Angels,Storm Speeder Hailstrike,3rd+,1,125,115,-10,decreased,unit,
Blood Angels,Storm Speeder Hammerstrike,1st-2nd,1,125,130,5,increased,unit,
Blood Angels,Storm Speeder Hammerstrike,3rd+,1,135,140,5,increased,unit,
Blood Angels,Storm Speeder Thunderstrike,1st-2nd,1,135,135,0,unchanged,unit,
Blood Angels,Storm Speeder Thunderstrike,3rd+,1,145,145,0,unchanged,unit,
Blood Angels,Stormhawk Interceptor,standard,1,155,155,0,unchanged,unit,
Blood Angels,Stormraven Gunship,1st-2nd,1,280,280,0,unchanged,unit,
Blood Angels,Stormraven Gunship,3rd+,1,300,300,0,unchanged,unit,
Blood Angels,Stormtalon Gunship,standard,1,165,165,0,unchanged,unit,
Blood Angels,Suppressor Squad,standard,3,75,75,0,unchanged,unit,
Blood Angels,Tactical Squad,standard,10,140,140,0,unchanged,unit,
Blood Angels,Techmarine,standard,1,55,55,0,unchanged,unit,
Blood Angels,Terminator Assault Squad,standard,5,180,155,-25,decreased,unit,
Blood Angels,Terminator Assault Squad,standard,10,360,310,-50,decreased,unit,
Blood Angels,Terminator Assault Squad with Thunder Hammer,,,,5,,,wargear,per Thunder Hammer
Blood Angels,Terminator Squad,standard,5,170,160,-10,decreased,unit,
Blood Angels,Terminator Squad,standard,10,340,320,-20,decreased,unit,
Blood Angels,The Sanguinor,standard,1,130,130,0,unchanged,unit,
Blood Angels,Thunderhawk Gunship,standard,1,840,840,0,unchanged,unit,
Blood Angels,Vanguard Veteran Squad With Jump Packs,1st-2nd,5,100,105,5,increased,unit,
Blood Angels,Vanguard Veteran Squad With Jump Packs,1st-2nd,10,200,210,10,increased,unit,
Blood Angels,Vanguard Veteran Squad With Jump Packs,3rd+,5,110,115,5,increased,unit,
Blood Angels,Vanguard Veteran Squad With Jump Packs,3rd+,10,210,220,10,increased,unit,
Blood Angels,Vindicator,1st-2nd,1,185,185,0,unchanged,unit,
Blood Angels,Vindicator,3rd+,1,200,200,0,unchanged,unit,
Blood Angels,Whirlwind,1st-2nd,1,190,175,-15,decreased,unit,
Blood Angels,Whirlwind,3rd+,1,210,195,-15,decreased,unit,
Chaos Daemons,Be'Lakor,standard,1,375,390,15,increased,unit,
Chaos Daemons,Beasts Of Nurgle,standard,1,65,70,5,increased,unit,
Chaos Daemons,Beasts Of Nurgle,standard,2,130,140,10,increased,unit,
Chaos Daemons,Bloodcrushers,1st-2nd,3,110,95,-15,decreased,unit,
Chaos Daemons,Bloodcrushers,1st-2nd,6,220,180,-40,decreased,unit,
Chaos Daemons,Bloodcrushers,3rd+,3,120,105,-15,decreased,unit,
Chaos Daemons,Bloodcrushers,3rd+,6,230,190,-40,decreased,unit,
Chaos Daemons,Bloodletters,standard,10,110,110,0,unchanged,unit,
Chaos Daemons,Bloodmaster,standard,1,65,65,0,unchanged,unit,
Chaos Daemons,Bloodthirster,1st-2nd,1,305,320,15,increased,unit,
Chaos Daemons,Bloodthirster,3rd+,1,320,335,15,increased,unit,
Chaos Daemons,Blue Horrors,standard,10,125,125,0,unchanged,unit,
Chaos Daemons,Burning Chariot,standard,1,115,115,0,unchanged,unit,
Chaos Daemons,Changecaster,standard,1,60,60,0,unchanged,unit,
Chaos Daemons,Contorted Epitome,standard,1,100,100,0,unchanged,unit,
Chaos Daemons,Daemon Prince Of Chaos,standard,1,190,165,-25,decreased,unit,
Chaos Daemons,Daemon Prince Of Chaos With Wings,standard,1,180,190,10,increased,unit,
Chaos Daemons,Daemonettes,standard,10,100,90,-10,decreased,unit,
Chaos Daemons,Epidemius,standard,1,80,80,0,unchanged,unit,
Chaos Daemons,Exalted Flamer,standard,1,65,65,0,unchanged,unit,
Chaos Daemons,Fateskimmer,standard,1,95,95,0,unchanged,unit,
Chaos Daemons,Feculent Gnarlmaw,standard,1,100,100,0,unchanged,unit,
Chaos Daemons,Fiends,standard,3,95,90,-5,decreased,unit,
Chaos Daemons,Fiends,standard,6,190,180,-10,decreased,unit,
Chaos Daemons,Flamers,standard,3,65,65,0,unchanged,unit,
Chaos Daemons,Flamers,standard,6,130,130,0,unchanged,unit,
Chaos Daemons,Flesh Hounds,standard,5,75,75,0,unchanged,unit,
Chaos Daemons,Flesh Hounds,standard,10,150,150,0,unchanged,unit,
Chaos Daemons,Fluxmaster,standard,1,60,80,20,increased,unit,
Chaos Daemons,Great Unclean One,1st-2nd,1,250,265,15,increased,unit,
Chaos Daemons,Great Unclean One,3rd+,1,265,280,15,increased,unit,
Chaos Daemons,Hellflayers,standard,1,80,80,0,unchanged,unit,
Chaos Daemons,Hellflayers,standard,2,160,160,0,unchanged,unit,
Chaos Daemons,Horticulous Slimux,standard,1,120,120,0,unchanged,unit,
Chaos Daemons,Infernal Enrapturess,standard,1,60,60,0,unchanged,unit,
Chaos Daemons,Kairos Fateweaver,standard,1,295,295,0,unchanged,unit,
Chaos Daemons,Karanak,standard,1,75,70,-5,decreased,unit,
Chaos Daemons,Keeper Of Secrets,1st-2nd,1,240,255,15,increased,unit,
Chaos Daemons,Keeper Of Secrets,3rd+,1,255,270,15,increased,unit,
Chaos Daemons,Lord Of Change,1st-2nd,1,285,300,15,increased,unit,
Chaos Daemons,Lord Of Change,3rd+,1,300,315,15,increased,unit,
Chaos Daemons,Nurglings,standard,3,40,45,5,increased,unit,
Chaos Daemons,Nurglings,standard,6,70,90,20,increased,unit,
Chaos Daemons,Pink Horrors,standard,10,140,150,10,increased,unit,
Chaos Daemons,Plague Drones,standard,3,110,110,0,unchanged,unit,
Chaos Daemons,Plague Drones,standard,6,220,220,0,unchanged,unit,
Chaos Daemons,Plaguebearers,standard,10,110,115,5,increased,unit,
Chaos Daemons,Poxbringer,standard,1,55,55,0,unchanged,unit,
Chaos Daemons,Rendmaster On Blood Throne,1st-2nd,1,165,150,-15,decreased,unit,
Chaos Daemons,Rendmaster On Blood Throne,3rd+,1,185,170,-15,decreased,unit,
Chaos Daemons,Rotigus,standard,1,265,280,15,increased,unit,
Chaos Daemons,Screamers,standard,3,80,80,0,unchanged,unit,
Chaos Daemons,Screamers,standard,6,160,160,0,unchanged,unit,
Chaos Daemons,Seekers,standard,5,80,80,0,unchanged,unit,
Chaos Daemons,Seekers,standard,10,160,155,-5,decreased,unit,
Chaos Daemons,Shalaxi Helbane,standard,1,340,340,0,unchanged,unit,
Chaos Daemons,Skarbrand,standard,1,305,315,10,increased,unit,
Chaos Daemons,Skull Altar,standard,1,105,105,0,unchanged,unit,
Chaos Daemons,Skull Cannon,standard,1,95,90,-5,decreased,unit,
Chaos Daemons,Skullmaster,standard,1,100,85,-15,decreased,unit,
Chaos Daemons,Skulltaker,standard,1,85,85,0,unchanged,unit,
Chaos Daemons,Sloppity Bilepiper,standard,1,55,55,0,unchanged,unit,
Chaos Daemons,Soul Grinder,1st-2nd,1,180,180,0,unchanged,unit,
Chaos Daemons,Soul Grinder,3rd+,1,195,195,0,unchanged,unit,
Chaos Daemons,Spoilpox Scrivener,standard,1,60,60,0,unchanged,unit,
Chaos Daemons,Syll'Esske,standard,1,120,120,0,unchanged,unit,
Chaos Daemons,The Blue Scribes,standard,1,75,75,0,unchanged,unit,
Chaos Daemons,The Changeling,standard,1,90,105,15,increased,unit,
Chaos Daemons,The Masque Of Slaanesh,standard,1,95,95,0,unchanged,unit,
Chaos Daemons,Tormentbringer,standard,1,140,135,-5,decreased,unit,
Chaos Daemons,Tranceweaver,standard,1,60,60,0,unchanged,unit,
Chaos Knights,Chaos Acastus Knight Asterius,1st-2nd,1,765,785,20,increased,unit,
Chaos Knights,Chaos Acastus Knight Asterius,3rd+,1,840,860,20,increased,unit,
Chaos Knights,Chaos Acastus Knight Porphyrion,1st-2nd,1,700,725,25,increased,unit,
Chaos Knights,Chaos Acastus Knight Porphyrion,3rd+,1,775,800,25,increased,unit,
Chaos Knights,Chaos Cerastus Knight Acheron,1st-2nd,1,385,370,-15,decreased,unit,
Chaos Knights,Chaos Cerastus Knight Acheron,3rd+,1,400,385,-15,decreased,unit,
Chaos Knights,Chaos Cerastus Knight Atrapos,1st-2nd,1,395,395,0,unchanged,unit,
Chaos Knights,Chaos Cerastus Knight Atrapos,3rd+,1,415,415,0,unchanged,unit,
Chaos Knights,Chaos Cerastus Knight Castigator,1st-2nd,1,385,370,-15,decreased,unit,
Chaos Knights,Chaos Cerastus Knight Castigator,3rd+,1,400,385,-15,decreased,unit,
Chaos Knights,Chaos Cerastus Knight Lancer,1st-2nd,1,385,395,10,increased,unit,
Chaos Knights,Chaos Cerastus Knight Lancer,3rd+,1,405,415,10,increased,unit,
Chaos Knights,Chaos Questoris Knight Magaera,1st-2nd,1,375,375,0,unchanged,unit,
Chaos Knights,Chaos Questoris Knight Magaera,3rd+,1,390,390,0,unchanged,unit,
Chaos Knights,Chaos Questoris Knight Styrix,1st-2nd,1,375,365,-10,decreased,unit,
Chaos Knights,Chaos Questoris Knight Styrix,3rd+,1,390,380,-10,decreased,unit,
Chaos Knights,Knight Abominant,1st-2nd,1,355,355,0,unchanged,unit,
Chaos Knights,Knight Abominant,3rd+,1,370,370,0,unchanged,unit,
Chaos Knights,Knight Desecrator,1st-2nd,1,355,355,0,unchanged,unit,
Chaos Knights,Knight Desecrator,3rd+,1,370,370,0,unchanged,unit,
Chaos Knights,Knight Despoiler,1st-2nd,1,390,380,-10,decreased,unit,
Chaos Knights,Knight Despoiler,3rd+,1,410,400,-10,decreased,unit,
Chaos Knights,Knight Despoiler with Despoiler gatling cannon,,,,25,,,wargear,per Despoiler gatling cannon
Chaos Knights,Knight Despoiler with Despoiler battle cannon,,,,15,,,wargear,per Despoiler battle cannon
Chaos Knights,Knight Rampager,1st-2nd,1,365,365,0,unchanged,unit,
Chaos Knights,Knight Rampager,3rd+,1,380,380,0,unchanged,unit,
Chaos Knights,Knight Ruinator,1st-2nd,1,355,340,-15,decreased,unit,
Chaos Knights,Knight Ruinator,3rd+,1,370,355,-15,decreased,unit,
Chaos Knights,Knight Tyrant,1st-2nd,1,410,400,-10,decreased,unit,
Chaos Knights,Knight Tyrant,3rd+,1,430,420,-10,decreased,unit,
Chaos Knights,War Dog Brigand,standard,1,140,140,0,unchanged,unit,
Chaos Knights,War Dog Executioner,standard,1,130,130,0,unchanged,unit,
Chaos Knights,War Dog Huntsman,standard,1,140,140,0,unchanged,unit,
Chaos Knights,War Dog Karnivore,standard,1,150,155,5,increased,unit,
Chaos Knights,War Dog Moirax,1st-2nd,1,150,150,0,unchanged,unit,
Chaos Knights,War Dog Moirax,3rd+,1,160,160,0,unchanged,unit,
Chaos Space Marines,Abaddon The Despoiler,standard,1,270,285,15,increased,unit,
Chaos Space Marines,Accursed Cultists,1st-2nd,8,90,90,0,unchanged,unit,
Chaos Space Marines,Accursed Cultists,1st-2nd,16,195,195,0,unchanged,unit,
Chaos Space Marines,Accursed Cultists,3rd+,8,110,110,0,unchanged,unit,
Chaos Space Marines,Accursed Cultists,3rd+,16,215,215,0,unchanged,unit,
Chaos Space Marines,Chaos Bikers,standard,3,70,70,0,unchanged,unit,
Chaos Space Marines,Chaos Bikers,standard,6,130,130,0,unchanged,unit,
Chaos Space Marines,Chaos Land Raider,1st-2nd,1,220,220,0,unchanged,unit,
Chaos Space Marines,Chaos Land Raider,3rd+,1,240,240,0,unchanged,unit,
Chaos Space Marines,Chaos Lord,standard,1,90,90,0,unchanged,unit,
Chaos Space Marines,Chaos Lord In Terminator Armour,standard,1,85,85,0,unchanged,unit,
Chaos Space Marines,Chaos Lord With Jump Pack,standard,1,80,90,10,increased,unit,
Chaos Space Marines,Chaos Predator Annihilator,1st-2nd,1,135,135,0,unchanged,unit,
Chaos Space Marines,Chaos Predator Annihilator,3rd+,1,145,145,0,unchanged,unit,
Chaos Space Marines,Chaos Predator Destructor,1st-2nd,1,140,140,0,unchanged,unit,
Chaos Space Marines,Chaos Predator Destructor,3rd+,1,150,150,0,unchanged,unit,
Chaos Space Marines,Chaos Rhino,standard,1,75,75,0,unchanged,unit,
Chaos Space Marines,Chaos Spawn,standard,2,70,60,-10,decreased,unit,
Chaos Space Marines,Chaos Terminator Squad,standard,5,180,180,0,unchanged,unit,
Chaos Space Marines,Chaos Terminator Squad,standard,10,360,360,0,unchanged,unit,
Chaos Space Marines,Chaos Vindicator,1st-2nd,1,185,185,0,unchanged,unit,
Chaos Space Marines,Chaos Vindicator,3rd+,1,195,195,0,unchanged,unit,
Chaos Space Marines,Chosen,1st-2nd,5,125,125,0,unchanged,unit,
Chaos Space Marines,Chosen,1st-2nd,10,250,250,0,unchanged,unit,
Chaos Space Marines,Chosen,3rd+,5,135,135,0,unchanged,unit,
Chaos Space Marines,Chosen,3rd+,10,260,260,0,unchanged,unit,
Chaos Space Marines,Cultist Firebrand,1st-2nd,1,45,45,0,unchanged,unit,
Chaos Space Marines,Cultist Firebrand,3rd+,1,50,50,0,unchanged,unit,
Chaos Space Marines,Cultist Mob,standard,10,50,50,0,unchanged,unit,
Chaos Space Marines,Cultist Mob,standard,20,100,90,-10,decreased,unit,
Chaos Space Marines,Cypher,standard,1,90,90,0,unchanged,unit,
Chaos Space Marines,Dark Apostle,standard,3,65,65,0,unchanged,unit,
Chaos Space Marines,Dark Commune,1st-2nd,5,90,90,0,unchanged,unit,
Chaos Space Marines,Dark Commune,3rd+,5,100,100,0,unchanged,unit,
Chaos Space Marines,Defiler,1st-2nd,1,250,300,50,increased,unit,
Chaos Space Marines,Defiler,3rd+,1,280,330,50,increased,unit,
Chaos Space Marines,Defiler with Heavy reaper autocannon,,,,10,,,wargear,per Heavy reaper autocannon
Chaos Space Marines,Defiler with Hades lascannon,,,,10,,,wargear,per Hades lascannon
Chaos Space Marines,Fabius Bile,standard,2,100,100,0,unchanged,unit,
Chaos Space Marines,Fellgor Beastmen,standard,10,70,60,-10,decreased,unit,
Chaos Space Marines,Forgefiend,1st-2nd,1,170,160,-10,decreased,unit,
Chaos Space Marines,Forgefiend,3rd+,1,180,170,-10,decreased,unit,
Chaos Space Marines,Forgefiend with Ectoplasma cannon,,,,5,,,wargear,per Ectoplasma cannon
Chaos Space Marines,Haarken Worldclaimer,standard,1,90,90,0,unchanged,unit,
Chaos Space Marines,Havocs,1st-2nd,5,125,125,0,unchanged,unit,
Chaos Space Marines,Havocs,3rd+,5,135,135,0,unchanged,unit,
Chaos Space Marines,Helbrute,standard,1,130,130,0,unchanged,unit,
Chaos Space Marines,Heldrake,standard,1,205,175,-30,decreased,unit,
Chaos Space Marines,Heretic Astartes Daemon Prince,standard,1,165,165,0,unchanged,unit,
Chaos Space Marines,Heretic Astartes Daemon Prince With Wings,standard,1,180,180,0,unchanged,unit,
Chaos Space Marines,Huron Blackheart,standard,1,120,120,0,unchanged,unit,
Chaos Space Marines,Khorne Lord Of Skulls,1st-2nd,1,450,450,0,unchanged,unit,
Chaos Space Marines,Khorne Lord Of Skulls,3rd+,1,475,475,0,unchanged,unit,
Chaos Space Marines,Kravek Morne,standard,1,,120,,unmatched,unit,
Chaos Space Marines,Legionaries,standard,5,90,90,0,unchanged,unit,
Chaos Space Marines,Legionaries,standard,10,170,170,0,unchanged,unit,
Chaos Space Marines,Lord Discordant On Helstalker,standard,1,160,160,0,unchanged,unit,
Chaos Space Marines,Master Of Executions,standard,1,80,70,-10,decreased,unit,
Chaos Space Marines,Master Of Possession,standard,1,60,60,0,unchanged,unit,
Chaos Space Marines,Masters Of The Maelstrom,standard,5,115,135,20,increased,unit,
Chaos Space Marines,Maulerfiend,standard,1,130,130,0,unchanged,unit,
Chaos Space Marines,Mutilators,1st-2nd,3,200,180,-20,decreased,unit,
Chaos Space Marines,Mutilators,3rd+,3,210,190,-20,decreased,unit,
Chaos Space Marines,Nemesis Claw,standard,5,110,110,0,unchanged,unit,
Chaos Space Marines,Nemesis Claw,standard,10,190,190,0,unchanged,unit,
Chaos Space Marines,Noctilith Crown,standard,1,125,125,0,unchanged,unit,
Chaos Space Marines,Obliterators,1st-2nd,2,160,160,0,unchanged,unit,
Chaos Space Marines,Obliterators,3rd+,2,170,170,0,unchanged,unit,
Chaos Space Marines,Possessed,1st-2nd,5,120,120,0,unchanged,unit,
Chaos Space Marines,Possessed,1st-2nd,10,240,250,10,increased,unit,
Chaos Space Marines,Possessed,3rd+,5,130,130,0,unchanged,unit,
Chaos Space Marines,Possessed,3rd+,10,250,260,10,increased,unit,
Chaos Space Marines,Raptors,1st-2nd,5,110,110,0,unchanged,unit,
Chaos Space Marines,Raptors,1st-2nd,10,210,210,0,unchanged,unit,
Chaos Space Marines,Raptors,3rd+,5,120,120,0,unchanged,unit,
Chaos Space Marines,Raptors,3rd+,10,220,220,0,unchanged,unit,
Chaos Space Marines,Red Corsairs Raiders,1st-2nd,5,110,110,0,unchanged,unit,
Chaos Space Marines,Red Corsairs Raiders,1st-2nd,10,220,210,-10,decreased,unit,
Chaos Space Marines,Red Corsairs Raiders,3rd+,5,120,120,0,unchanged,unit,
Chaos Space Marines,Red Corsairs Raiders,3rd+,10,230,220,-10,decreased,unit,
Chaos Space Marines,Red Corsairs Reave-Captain,standard,1,75,70,-5,decreased,unit,
Chaos Space Marines,Sorcerer,standard,1,60,60,0,unchanged,unit,
Chaos Space Marines,Sorcerer In Terminator Armour,standard,1,80,80,0,unchanged,unit,
Chaos Space Marines,Traitor Enforcer,standard,2,55,70,15,increased,unit,
Chaos Space Marines,Traitor Guardsmen Squad,standard,10,70,70,0,unchanged,unit,
Chaos Space Marines,Vashtorr The Arkifane,standard,1,175,205,30,increased,unit,
Chaos Space Marines,Venomcrawler,1st-2nd,1,110,110,0,unchanged,unit,
Chaos Space Marines,Venomcrawler,3rd+,1,120,120,0,unchanged,unit,
Chaos Space Marines,Warp Talons,1st-2nd,5,125,125,0,unchanged,unit,
Chaos Space Marines,Warp Talons,1st-2nd,10,270,280,10,increased,unit,
Chaos Space Marines,Warp Talons,3rd+,5,135,135,0,unchanged,unit,
Chaos Space Marines,Warp Talons,3rd+,10,280,290,10,increased,unit,
Chaos Space Marines,Warpsmith,standard,1,70,60,-10,decreased,unit,
Chaos Titan Legions,Chaos Warbringer Nemesis Titan,standard,1,,2600,,unmatched,unit,
Chaos Titan Legions,Chaos Warhound Titan,standard,1,,1100,,unmatched,unit,
Chaos Titan Legions,Chaos Warlord Titan,standard,1,,3500,,unmatched,unit,
Dark Angels,Aggressor Squad,1st-2nd,3,95,90,-5,decreased,unit,
Dark Angels,Aggressor Squad,1st-2nd,6,190,180,-10,decreased,unit,
Dark Angels,Aggressor Squad,3rd+,3,105,100,-5,decreased,unit,
Dark Angels,Aggressor Squad,3rd+,6,200,190,-10,decreased,unit,
Dark Angels,Ancient,standard,1,50,40,-10,decreased,unit,
Dark Angels,Ancient In Terminator Armour,standard,1,,65,,unmatched,unit,
Dark Angels,Apothecary,standard,1,50,40,-10,decreased,unit,
Dark Angels,Apothecary Biologis,standard,1,70,70,0,unchanged,unit,
Dark Angels,Asmodai,standard,1,70,70,0,unchanged,unit,
Dark Angels,Assault Intercessor Squad,standard,5,75,75,0,unchanged,unit,
Dark Angels,Assault Intercessor Squad,standard,10,150,150,0,unchanged,unit,
Dark Angels,Assault Intercessors With Jump Packs,1st-2nd,5,90,85,-5,decreased,unit,
Dark Angels,Assault Intercessors With Jump Packs,1st-2nd,10,170,160,-10,decreased,unit,
Dark Angels,Assault Intercessors With Jump Packs,3rd+,5,100,95,-5,decreased,unit,
Dark Angels,Assault Intercessors With Jump Packs,3rd+,10,180,170,-10,decreased,unit,
Dark Angels,Astraeus,1st-2nd,1,525,525,0,unchanged,unit,
Dark Angels,Astraeus,3rd+,1,575,575,0,unchanged,unit,
Dark Angels,Azrael,standard,1,125,140,15,increased,unit,
Dark Angels,Ballistus Dreadnought,1st-2nd,1,150,150,0,unchanged,unit,
Dark Angels,Ballistus Dreadnought,3rd+,1,160,160,0,unchanged,unit,
Dark Angels,Belial,standard,1,85,75,-10,decreased,unit,
Dark Angels,Bladeguard Ancient,standard,1,45,40,-5,decreased,unit,
Dark Angels,Bladeguard Veteran Squad,1st-2nd,3,80,80,0,unchanged,unit,
Dark Angels,Bladeguard Veteran Squad,1st-2nd,6,170,160,-10,decreased,unit,
Dark Angels,Bladeguard Veteran Squad,3rd+,3,90,90,0,unchanged,unit,
Dark Angels,Bladeguard Veteran Squad,3rd+,6,180,170,-10,decreased,unit,
Dark Angels,Brutalis Dreadnought,1st-2nd,1,160,150,-10,decreased,unit,
Dark Angels,Brutalis Dreadnought,3rd+,1,170,160,-10,decreased,unit,
Dark Angels,Captain,standard,1,80,80,0,unchanged,unit,
Dark Angels,Captain In Gravis Armour,standard,1,80,80,0,unchanged,unit,
Dark Angels,Captain In Phobos Armour,standard,1,70,70,0,unchanged,unit,
Dark Angels,Captain In Terminator Armour,standard,1,95,85,-10,decreased,unit,
Dark Angels,Captain With Jump Pack,standard,1,75,75,0,unchanged,unit,
Dark Angels,Centurion Assault Squad,standard,3,150,150,0,unchanged,unit,
Dark Angels,Centurion Assault Squad,standard,6,300,300,0,unchanged,unit,
Dark Angels,Centurion Devastator Squad,standard,3,175,175,0,unchanged,unit,
Dark Angels,Centurion Devastator Squad,standard,6,350,350,0,unchanged,unit,
Dark Angels,Chaplain,standard,1,60,60,0,unchanged,unit,
Dark Angels,Chaplain In Terminator Armour,standard,1,75,75,0,unchanged,unit,
Dark Angels,Chaplain On Bike,standard,1,75,70,-5,decreased,unit,
Dark Angels,Chaplain With Jump Pack,standard,1,75,75,0,unchanged,unit,
Dark Angels,Company Heroes,standard,4,105,105,0,unchanged,unit,
Dark Angels,Deathwing Knights,1st-2nd,5,250,240,-10,decreased,unit,
Dark Angels,Deathwing Knights,3rd+,5,270,260,-10,decreased,unit,
Dark Angels,Deathwing Terminator Squad,standard,5,180,165,-15,decreased,unit,
Dark Angels,Deathwing Terminator Squad,standard,10,360,330,-30,decreased,unit,
Dark Angels,Desolation Squad,1st-2nd,5,200,180,-20,decreased,unit,
Dark Angels,Desolation Squad,3rd+,5,230,210,-20,decreased,unit,
Dark Angels,Devastator Squad,standard,5,120,120,0,unchanged,unit,
Dark Angels,Devastator Squad,standard,10,200,200,0,unchanged,unit,
Dark Angels,Dreadnought,standard,1,135,135,0,unchanged,unit,
Dark Angels,Drop Pod,standard,1,70,70,0,unchanged,unit,
Dark Angels,Eliminator Squad,standard,3,85,75,-10,decreased,unit,
Dark Angels,Eradicator Squad,1st-2nd,3,90,90,0,unchanged,unit,
Dark Angels,Eradicator Squad,1st-2nd,6,180,180,0,unchanged,unit,
Dark Angels,Eradicator Squad,3rd+,3,100,100,0,unchanged,unit,
Dark Angels,Eradicator Squad,3rd+,6,190,190,0,unchanged,unit,
Dark Angels,Eradicator Squad With Heavy Bolters,1st-2nd,3,,70,,unmatched,unit,
Dark Angels,Eradicator Squad With Heavy Bolters,3rd+,3,,80,,unmatched,unit,
Dark Angels,Ezekiel,standard,1,75,75,0,unchanged,unit,
Dark Angels,Firestrike Servo-Turrets,standard,1,,75,,unmatched,unit,
Dark Angels,Firestrike Servo-Turrets,standard,2,,150,,unmatched,unit,
Dark Angels,Gladiator Lancer,1st-2nd,1,160,160,0,unchanged,unit,
Dark Angels,Gladiator Lancer,3rd+,1,170,170,0,unchanged,unit,
Dark Angels,Gladiator Reaper,1st-2nd,1,160,160,0,unchanged,unit,
Dark Angels,Gladiator Reaper,3rd+,1,170,170,0,unchanged,unit,
Dark Angels,Gladiator Valiant,1st-2nd,1,150,150,0,unchanged,unit,
Dark Angels,Gladiator Valiant,3rd+,1,160,160,0,unchanged,unit,
Dark Angels,Hammerfall Bunker,standard,1,175,175,0,unchanged,unit,
Dark Angels,Heavy Intercessor Squad,standard,5,100,100,0,unchanged,unit,
Dark Angels,Heavy Intercessor Squad,standard,10,200,200,0,unchanged,unit,
Dark Angels,Hellblaster Squad,standard,5,110,110,0,unchanged,unit,
Dark Angels,Hellblaster Squad,standard,10,220,220,0,unchanged,unit,
Dark Angels,Impulsor,standard,1,80,80,0,unchanged,unit,
Dark Angels,Inceptor Squad,1st-2nd,3,120,120,0,unchanged,unit,
Dark Angels,Inceptor Squad,1st-2nd,6,240,240,0,unchanged,unit,
Dark Angels,Inceptor Squad,3rd+,3,135,135,0,unchanged,unit,
Dark Angels,Inceptor Squad,3rd+,6,255,255,0,unchanged,unit,
Dark Angels,Incursor Squad,1st-2nd,5,80,85,5,increased,unit,
Dark Angels,Incursor Squad,1st-2nd,10,160,150,-10,decreased,unit,
Dark Angels,Incursor Squad,3rd+,5,90,95,5,increased,unit,
Dark Angels,Incursor Squad,3rd+,10,170,160,-10,decreased,unit,
Dark Angels,Infernus Squad,standard,5,90,85,-5,decreased,unit,
Dark Angels,Infernus Squad,standard,10,180,170,-10,decreased,unit,
Dark Angels,Infiltrator Squad,1st-2nd,5,100,110,10,increased,unit,
Dark Angels,Infiltrator Squad,1st-2nd,10,200,180,-20,decreased,unit,
Dark Angels,Infiltrator Squad,3rd+,5,110,120,10,increased,unit,
Dark Angels,Infiltrator Squad,3rd+,10,210,190,-20,decreased,unit,
Dark Angels,Inner Circle Companions,1st-2nd,3,90,80,-10,decreased,unit,
Dark Angels,Inner Circle Companions,1st-2nd,6,180,170,-10,decreased,unit,
Dark Angels,Inner Circle Companions,3rd+,3,100,90,-10,decreased,unit,
Dark Angels,Inner Circle Companions,3rd+,6,190,180,-10,decreased,unit,
Dark Angels,Intercessor Squad,standard,5,80,80,0,unchanged,unit,
Dark Angels,Intercessor Squad,standard,10,160,150,-10,decreased,unit,
Dark Angels,Invader Atv,standard,1,60,60,0,unchanged,unit,
Dark Angels,Invictor Tactical Warsuit,standard,1,125,125,0,unchanged,unit,
Dark Angels,Judiciar,standard,1,70,55,-15,decreased,unit,
Dark Angels,Land Raider,1st-2nd,1,220,220,0,unchanged,unit,
Dark Angels,Land Raider,3rd+,1,240,240,0,unchanged,unit,
Dark Angels,Land Raider Crusader,1st-2nd,1,220,220,0,unchanged,unit,
